Study Hours per Week,Attendance Rate,Major,High School GPA,Extracurricular Activities,Part-Time Job,Library Usage per Week,Online Coursework Engagement,Sleep Hours per Night,College GPA
21.95,79.64,Business,2.83,4,No,16.87,11.22,5.64,2.8
28.61,50.5,Business,3.26,1,No,6.53,7.79,5.78,2.55
24.11,73.79,,3.56,3,No,17.04,8.09,7.1,2.77
21.8,85.44,Business,3.7,4,Yes,17.77,14.27,9.97,3.28
16.95,52.2,Arts,3.63,4,No,5.33,11.08,6.94,2.59
25.84,93.98,Engineering,2.33,1,Yes,3.41,8.5,,2.73
17.5,76,Arts,3.66,1,No,15.14,5.89,9.63,2.51
35.67,51.53,Science,2.12,3,Yes,11.55,2.46,,2.1
38.55,61.22,Engineering,2.4,1,No,2.16,1.74,4.24,2.29
15.34,97.68,Engineering,3.25,0,Yes,7.99,4.49,4.43,2.47
31.67,79.12,Engineering,2.23,3,No,6.64,10.39,5.03,2.83
21.16,55.37,Science,3.21,2,No,13.21,2.87,7.8,2.08
22.72,64.38,Arts,2.62,3,No,8.41,1.97,6.21,2
37.02,72.84,Engineering,2.86,0,Yes,12.97,1.17,9.5,2.45
2.84,51.05,Engineering,2.63,2,No,15.99,12.69,8.76,2.08
3.49,70.58,Business,2.14,3,No,14.14,3.62,5.93,1.57
0.81,74.47,Science,3,1,Yes,12.35,3.01,9.92,1.72
33.3,62.18,Business,3.93,2,No,18.13,5.86,8,2.83
31.13,79.43,Business,3.22,4,Yes,4.96,9.44,4.1,3.01
34.8,87.66,Arts,2.6,1,No,10.15,8.79,6.78,2.98
39.14,61.79,Business,3.91,3,Yes,15.12,13.85,9.46,3.5
31.97,81.02,Science,2.78,1,No,4.48,10.23,5.78,2.99
18.46,81.98,Science,3.4,1,Yes,4.23,8.43,9.56,2.69
31.22,,Engineering,3.27,1,No,13.69,10.67,7.69,3.28
4.73,88.91,Arts,3.91,4,No,15.61,9.96,7.5,2.65
25.6,92.42,Engineering,3.83,1,No,17.73,11.51,6.19,3.29
5.73,74.52,Business,2.3,4,Yes,8.97,8.59,9.74,2.04
37.79,59.27,Engineering,2.17,3,No,14.33,12.11,6.58,2.89
20.87,99.79,Science,3.62,0,No,3.42,13.5,7.81,3.32
16.59,,Science,3.81,4,Yes,6.3,10.45,,2.63
10.58,73.57,Business,2.99,1,No,12.64,5.36,7.86,2.11
30.97,53.4,Engineering,3.38,4,No,2.96,4.2,5.84,2.43
18.25,97.19,Science,2.14,2,No,19.11,9.56,9.19,2.6
22.74,98.25,Science,2.44,3,Yes,2.56,9.47,7.56,2.79
0.75,85.97,Arts,2.3,1,Yes,15.54,0.36,,1.48
